group,metric,n,period,post_sig_count,post_sig_pct,trend_sig_count,trend_sig_pct,post_pos_sig_pct,post_neg_sig_pct,trend_pos_sig_pct,trend_neg_sig_pct,post_pos_share_among_sig,trend_pos_share_among_sig,mean_coef_post,median_coef_post,mean_coef_trend,median_coef_trend,mean_coef_post_sig_only,mean_coef_trend_sig_only
Javascript,net_negative_commits,64,weeks,3,0.046875,6,0.09375,0.015625,0.03125,0.03125,0.0625,0.3333333333333333,0.3333333333333333,84.49766435371076,8.966805205928464,322.23068172116547,0.8057795514699368,3219.597361073677,-603.3041369404232
Python,net_negative_commits,42,weeks,3,0.07142857142857142,6,0.14285714285714285,0.047619047619047616,0.023809523809523808,0.09523809523809523,0.047619047619047616,0.6666666666666666,0.6666666666666666,-999.2897965198366,-5.247681971005759,1661.529832809742,22.362018198281284,520.867073857852,132.2095903937669
Rust,net_negative_commits,7,weeks,1,0.14285714285714285,1,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,1.0,1.0,1399.9122992209725,546.8387710103186,294.4946640744392,98.80833159333423,5706.445728492161,647.3031089086465
HTML,net_negative_commits,32,weeks,2,0.0625,0,0.0,0.0625,0.0,0.0,0.0,1.0,,254.66621746645234,4.746239082321644,21.203408337744328,-0.02685116710209894,117.20984255896046,
Go,net_negative_commits,12,weeks,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,-1371.1464119404661,-122.40008105169946,436.11656897266676,21.698897990277235,,
Java,net_negative_commits,5,weeks,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,72.50344809151969,2.1110584358805453,35.86529103321406,-0.8819068696927628,,
Ocaml,net_negative_commits,1,weeks,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,-16017.804346527739,-16017.804346527739,34.23792741089318,34.23792741089318,,
Bash,net_negative_commits,53,weeks,1,0.018867924528301886,1,0.018867924528301886,0.018867924528301886,0.0,0.018867924528301886,0.0,1.0,1.0,-0.5437299314239535,0.5531979498075588,5.293754016660194,-0.08797780023645371,183.78578920728992,70.27720075558106
PHP,net_negative_commits,2,weeks,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,-730.9199799413516,-730.9199799413516,794.4504670494672,794.4504670494672,,
C,net_negative_commits,15,weeks,1,0.06666666666666667,4,0.26666666666666666,0.0,0.06666666666666667,0.26666666666666666,0.0,0.0,1.0,159.38373013391546,-2.054250053304895,145.58602385287472,0.29351006880026576,-988.6728052486949,210.99326841183245
Dart,net_negative_commits,5,weeks,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,-204.46320031744085,209.2393829101031,22.578354666055382,81.86031638181588,,
CSS,net_negative_commits,44,weeks,0,0.0,1,0.022727272727272728,0.0,0.0,0.0,0.022727272727272728,,0.0,-4.415295174083607,6.57252920789154,-4.261483310125963,-0.09995428947060078,,-13.754306505829113
Elixir,net_negative_commits,1,weeks,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,-2072.374520957162,-2072.374520957162,68.77548403662686,68.77548403662686,,
Swift,net_negative_commits,5,weeks,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,33.94531144363599,23.672304228821492,0.07939867021763529,1.436393251561878,,
All,net_negative_commits,106,weeks,6,0.05660377358490566,9,0.08490566037735849,0.02830188679245283,0.02830188679245283,0.07547169811320754,0.009433962264150943,0.5,0.8888888888888888,205.36677220085596,0.6314241049483135,525.429046566295,28.720297907473228,4853.113804396467,432.20448727167195
Javascript,add_delete_ratio,66,weeks,2,0.030303030303030304,6,0.09090909090909091,0.0,0.030303030303030304,0.045454545454545456,0.045454545454545456,0.0,0.5,7.036028839340981,-2.131134306552231,4.004714478464209,-0.11798711202079837,-2.522888362521928,0.22594425773806184
Python,add_delete_ratio,45,weeks,1,0.022222222222222223,5,0.1111111111111111,0.022222222222222223,0.0,0.0,0.1111111111111111,1.0,0.0,4.655627494458869,0.36321677073192293,-1.023809043714279,-0.4209123458770575,24.441812005126618,-3.5105036641369742
Rust,add_delete_ratio,8,weeks,0,0.0,2,0.25,0.0,0.0,0.0,0.25,,0.0,-6.2165463809664745,-4.9789872934275365,-0.6477417058280103,-0.18972608650334052,,-0.7972478561378952
HTML,add_delete_ratio,32,weeks,1,0.03125,1,0.03125,0.0,0.03125,0.0,0.03125,0.0,0.0,-170.05310462907454,-3.1930273940869487,-8.395513476529805,0.10896434266921513,-69.73960921292152,-10.148822878696809
Go,add_delete_ratio,13,weeks,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,4.308318320436455,-7.989609259063793,-1.237805641323495,-0.142816928521034,,
Java,add_delete_ratio,7,weeks,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,1.4802284509016153,-0.5678142938664742,0.4804574325397314,0.1324816205545197,,
Ocaml,add_delete_ratio,1,weeks,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,-0.8778204182073187,-0.8778204182073187,-0.033912113506386066,-0.033912113506386066,,
Bash,add_delete_ratio,54,weeks,0,0.0,3,0.05555555555555555,0.0,0.0,0.037037037037037035,0.018518518518518517,,0.6666666666666666,-1.0943419658162028,-0.6276948831471407,0.06392757532457562,0.024550363001010114,,0.5719071702412388
PHP,add_delete_ratio,2,weeks,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,2.17994731228215,2.17994731228215,-2.671247169427905,-2.671247169427905,,
C,add_delete_ratio,14,weeks,1,0.07142857142857142,1,0.07142857142857142,0.0,0.07142857142857142,0.07142857142857142,0.0,0.0,1.0,-52.47193550601912,-3.8718531611380715,8.051269458850987,-0.009663507951052218,-0.816156562865467,1.2987969879153047
Dart,add_delete_ratio,6,weeks,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,-34.8290774451135,-2.437950746735227,19.295500214600118,-0.027398303582562213,,
CSS,add_delete_ratio,45,weeks,2,0.044444444444444446,3,0.06666666666666667,0.0,0.044444444444444446,0.022222222222222223,0.044444444444444446,0.0,0.3333333333333333,-10.162243152977886,-3.245062316842121,-1.241273310237559,0.022363671641563755,-167.8498351867679,-15.65858773181571
Elixir,add_delete_ratio,1,weeks,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,0.5820799484177359,0.5820799484177359,0.5011315762001154,0.5011315762001154,,
Swift,add_delete_ratio,5,weeks,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,-6.69887430353585,-2.3354499766471393,0.17174007434018998,0.05990690558882773,,
All,add_delete_ratio,114,weeks,8,0.07017543859649122,15,0.13157894736842105,0.03508771929824561,0.03508771929824561,0.017543859649122806,0.11403508771929824,0.5,0.13333333333333333,3.2508500249177232,-1.2010132080564848,-0.837634815633633,-0.2225583724357002,3.647827909062369,-1.657066957765406
Javascript,total_commits,63,weeks,10,0.15873015873015872,18,0.2857142857142857,0.09523809523809523,0.06349206349206349,0.07936507936507936,0.20634920634920634,0.6,0.2777777777777778,-0.7488004104595467,-0.23577400527531156,-1.014591716248745,-0.06580788698264775,0.27432811644951427,-1.4948192309042565
Python,total_commits,46,weeks,9,0.1956521739130435,12,0.2608695652173913,0.06521739130434782,0.13043478260869565,0.043478260869565216,0.21739130434782608,0.3333333333333333,0.16666666666666666,-1.5956714140151467,-1.3379804384824867,-0.678531504906198,-0.08112647006091595,-5.910293234891928,-1.6609718034514174
Rust,total_commits,7,weeks,1,0.14285714285714285,5,0.7142857142857143,0.14285714285714285,0.0,0.14285714285714285,0.5714285714285714,1.0,0.2,-1.1467783786753645,-1.5727264831069803,-1.324939363840225,-0.43625854062937325,8.132349051642107,-1.000421941492767
HTML,total_commits,33,weeks,1,0.030303030303030304,2,0.06060606060606061,0.0,0.030303030303030304,0.0,0.06060606060606061,0.0,0.0,-0.413292282467406,-0.1999834889150303,0.025850781249498262,0.02860195550651412,-1.149197350737055,-0.1106020037475166
Go,total_commits,12,weeks,0,0.0,3,0.25,0.0,0.0,0.0,0.25,,0.0,-1.2092724049797154,-0.29859439940116855,-0.5791936192563097,-0.2100374131299002,,-1.9836082285205183
