extension,file_count,will_include,grouping,description
"""yuml""",5,FALSE,,
"""codespellrc""",5,FALSE,,
"""mdj""",5,FALSE,,
"""mailmap""",5,FALSE,,
"""reg""",5,FALSE,,
"""runsettings""",5,FALSE,,
"""dotsettings""",5,FALSE,,
"""grit""",5,FALSE,,
"""original""",5,FALSE,,
"""deprecated""",5,FALSE,,
"""yarnrc""",5,FALSE,,
"""bst""",5,FALSE,,
"""hva""",5,FALSE,,
"""src""",5,FALSE,,
"""bash_profile""",5,FALSE,,
"""itarget""",5,FALSE,,
"""code-profile""",5,FALSE,,
"""xcprivacy""",5,FALSE,,
"""mdhl""",5,FALSE,,
"""palette""",5,FALSE,,
"""qss""",5,FALSE,,
"""gql""",5,FALSE,,
"""csr""",5,FALSE,,
"""iss""",5,FALSE,,
"""chain""",5,FALSE,,
"""cd""",5,FALSE,,
"""xz""",5,FALSE,,
"""tar""",5,FALSE,,
"""jar""",5,FALSE,,
"""rbuildignore""",4,FALSE,,
"""tesc""",4,FALSE,,
"""tese""",4,FALSE,,
"""tbi""",4,FALSE,,
"""bck""",4,FALSE,,
"""dict""",4,FALSE,,
"""bai""",4,FALSE,,
"""amp""",4,FALSE,,
"""imp""",4,FALSE,,
"""pmp""",4,FALSE,,
"""rmp""",4,FALSE,,
"""ss""",4,FALSE,,
"""ssa""",4,FALSE,,
"""ssd""",4,FALSE,,
"""proptest-regressions""",4,FALSE,,
"""flowconfig""",4,FALSE,,
"""wixproj""",4,FALSE,,
"""rss""",4,FALSE,,
"""fbs""",4,FALSE,,
"""clang-tidy""",4,FALSE,,
"""xcuserstate""",4,FALSE,,
"""neon""",4,FALSE,,
"""xcf""",4,FALSE,,
"""mplstyle""",4,FALSE,,
"""rprofile""",4,FALSE,,
"""mv""",4,FALSE,,
"""nt""",4,FALSE,,
"""plan""",4,FALSE,,
"""bazelversion""",4,FALSE,,
"""base""",4,FALSE,,
"""profile""",4,FALSE,,
"""cmi""",4,FALSE,,
"""gitignore_global""",4,FALSE,,
"""gemrc""",4,FALSE,,
"""zshenv""",4,FALSE,,
"""zprofile""",4,FALSE,,
"""pper""",4,FALSE,,
"""edn""",4,FALSE,,
"""version""",4,FALSE,,
"""zlogin""",4,FALSE,,
"""apr""",4,FALSE,,
"""snk""",4,FALSE,,
"""jxs""",4,FALSE,,
"""lammps""",4,FALSE,,
"""whl""",4,FALSE,,
"""sbv""",4,FALSE,,
"""salive""",4,FALSE,,
"""pub""",4,FALSE,,
"""ino""",4,FALSE,,
"""mustache""",4,FALSE,,
"""def""",4,FALSE,,
"""sublime-settings""",4,FALSE,,
"""pump""",4,FALSE,,
"""ruleset""",4,FALSE,,
"""kproj""",4,FALSE,,
"""playlist""",4,FALSE,,
"""gensum""",4,FALSE,,
"""wav""",4,FALSE,,
"""bin""",4,FALSE,,
"""build_defs""",4,FALSE,,
"""error""",4,FALSE,,
"""orc""",4,FALSE,,
"""coverage""",3,FALSE,,
"""spireh""",3,FALSE,,
"""geom""",3,FALSE,,
"""prisma""",3,FALSE,,
"""worktreeinclude""",3,FALSE,,
"""roomodes""",3,FALSE,,
"""prj""",3,FALSE,,
"""des""",3,FALSE,,
"""sds""",3,FALSE,,
"""ssp""",3,FALSE,,
"""suf""",3,FALSE,,
"""tis""",3,FALSE,,
"""ac""",3,FALSE,,
"""pylintrc""",3,FALSE,,
"""delta""",3,FALSE,,
"""nhr""",3,FALSE,,
"""nin""",3,FALSE,,
"""nsq""",3,FALSE,,
"""windsurfrules""",3,FALSE,,
"""pt""",3,FALSE,,
"""xsessionrc""",3,FALSE,,
"""rspec""",3,FALSE,,
"""ru""",3,FALSE,,
"""marker""",3,FALSE,,
"""default""",3,FALSE,,
"""openapi-generator-ignore""",3,FALSE,,
"""stylelintrc""",3,FALSE,,
"""ejs""",3,FALSE,,
"""types""",3,FALSE,,
"""pyre_configuration""",3,FALSE,,
"""policy""",3,FALSE,,
"""activiti""",3,FALSE,,
