group,metric,delay,n_repos,mean_pre,mean_post,mean_diff,median_diff,t_stat,p_value,significant,period
Swift,files_touched_per_commit,0,5,0.24001929969671904,0.22303571428571428,-0.016983585411004743,-0.06758241758241759,-0.18584976112733226,0.861606680241384,False,weeks
All,gross_churn,0,117,3802.6107834651702,5612.003303714291,1809.392520249122,169.90740740740742,1.8798770925312116,0.06263349009619484,True,weeks
All,net_added,0,117,1933.7802114356343,2513.228212152125,579.4480007164901,89.21965601965621,2.1296928571777274,0.035310604859287546,True,weeks
All,net_removed,0,117,616.4711397775682,1307.5362955278588,691.0651557502906,0.5,0.8568999303206144,0.3932669966403211,False,weeks
All,net_negative_commits,0,117,-1317.3090716580664,-1205.6919166242658,111.61715503380063,-85.7962962962963,0.1364943490519922,0.8916670991105695,False,weeks
All,add_delete_ratio,0,117,11.727280132472137,9.926506714209177,-1.8007734182629593,0.9591793338116665,-0.5387827423555024,0.5910692538845014,False,weeks
All,total_commits,0,117,11.96673850660805,14.468454403824955,2.501715897216906,0.2868162692847125,1.8049211944499628,0.07368116125202036,True,weeks
All,files_touched_per_commit,0,117,4.203506516233984,5.673433248907239,1.469926732673254,0.15555555555555556,0.917785989023305,0.36063523582931223,False,weeks
Javascript,gross_churn,2,68,3210.9885167254115,4403.5145852890955,1192.526068563685,77.45535714285714,0.8057692011152996,0.4232265563814112,False,weeks
Javascript,net_added,2,68,1840.397118118676,1724.7349522137174,-115.66216590495841,54.61931818181819,-0.19511283428286463,0.8458950919302168,False,weeks
Javascript,net_removed,2,68,439.95925510688846,1463.614427462468,1023.6551723555796,0.08333333333333333,0.8753727875534365,0.38449852528758877,False,weeks
Javascript,net_negative_commits,2,68,-1400.4378630117878,-261.1205247512496,1139.317338260538,-23.13452380952381,0.9575868913042862,0.34171383174043735,False,weeks
Javascript,add_delete_ratio,2,68,20.786829436959593,56.99396211044233,36.207132673482754,0.3675243727363968,0.7720840916000722,0.4427795226944968,False,weeks
Javascript,total_commits,2,68,9.581808056817962,10.201017522900491,0.61920946608253,0.1355661054062217,0.23028545340422968,0.8185716445344473,False,weeks
Javascript,files_touched_per_commit,2,68,3.4430885283214123,6.098357996031637,2.6552694677102244,0.1181623931623933,1.125954938785729,0.264201597336962,False,weeks
