repository,url,branch,branch_hash,artifact_original_name,artifact_creation_commit,artifact_creation_date,commits_before,commits_after,total_commits
dify-plugin-sdks,https://github.com/langgenius/dify-plugin-sdks.git,main,387913351d3f3bcbb7043fb34933efed235e96c534e83a9530c2a63f,CLAUDE.md,c31cb9c3e3bb95cfb3fe1bc31bd9856a0009b796,2025-11-14 13:34:55,563,18,581
documentation,https://github.com/dragonflydb/documentation.git,main,965330ebe0a5246dccad1097d64301370a42bf049aa2b34c4f4111ff,AGENTS.md,e9548a80170f565070cd062c157d26f468d5e5bc,2026-01-05 15:37:49,559,10,569
embrace-docs,https://github.com/embrace-io/embrace-docs.git,main,31ec77f93184ea420e0e87a989bbe6c02168e7cb7cd87521e45dcfeb,AGENTS.md,ae7a596a44f98991571218b73e5b6a17cf0946e4,2026-01-19 16:57:50,1081,25,1106
etchdroid,https://github.com/etchdroid/etchdroid.git,main,81f339ed2d0f610ed05b7a7c2e4665d383f71dd5ad0747f3e16b6aa9,AGENTS.md,a5c10f557d86052060d615198d5ed42bc39554b5,2025-06-07 00:05:01,1080,44,1124
fake-gcs-server,https://github.com/fsouza/fake-gcs-server.git,main,c783f62e09d08f415ac6554212734702fed067266650c3e0a2df97a8,CLAUDE.md,17d920a0ca216a12b5d6e6661401018dbb17e23b,2026-01-31 00:09:49,2263,38,2301
frb,https://github.com/frbs/frb.git,main,7eab6163e442e5205958a65ca6b7341276da8a35d62ff77965d8e195,CLAUDE.md,9afc1e661f67bfa989c776f70495c2918fe08eaf,2025-12-15 13:26:46,3767,15,3782
fvm,https://github.com/leoafarias/fvm.git,main,a18ab1d5bf2cdf11cfcc1fd1623c2ec245921dd8d73cbab10784040f,AGENTS.md,4e565a5c0bcc141a230e1110b1e7ce65bddf704c,2025-12-24 16:52:09,1975,23,1998
homelab,https://github.com/zebernst/homelab.git,main,02487834264bac5bb648695d2a00cd207738ee823fd195077df7d7e4,CLAUDE.md,007a809044d5138058bedc9305fd13c8fd006fd0,2026-01-18 13:54:39,1278,21,1299
laf,https://github.com/labring/laf.git,main,f6086cd52396aa9352edbb7797ea4c6d9cd1696d9979e23ad9e53e4d,CLAUDE.md,eb2d257eb2f5480bbec8aed32893c83cda748373,2025-10-27 21:51:52,2501,4,2505
lula,https://github.com/defenseunicorns/lula.git,main,3e8332511e10ee8f5b4ad208ee319429fef74f1aa21ab89c501772c4,CLAUDE.md,33d3248095a73a4a3a7c00500b9217fdeeb81ab6,2025-08-15 01:13:46,7,760,767
